"city","city_ascii","state_id","state_name","county_fips","county_name","lat","lng","population","density","source","military","incorporated","timezone","ranking","zips","id"
"New York","New York","NY","New York",36081,"Queens",40.6943,-73.9249,18680025,10768,"shape",FALSE,TRUE,"America/New_York",1,"11229 11228 11226 11225 11224 11222 11221 11220 11385 10169 10168 10167 10165 10162 10282 10280 10040 10044 11109 11102 11103 11106 11104 11697 11694 11692 11693 11691 10271 10279 10278 10075 11249 10452 11451 10475 10474 10471 10470 10473 10472 11223 10103 11368 11369 11366 11367 11364 11365 11362 11363 11360 11361 10028 10029 10026 10027 10024 10025 10022 10023 10020 10021 11212 11213 11210 11211 11216 11217 11214 11215 11218 11219 10152 10153 10154 10310 10311 10312 10314 11439 11432 11433 11430 11436 11434 11435 10453 10451 10457 10456 10455 10454 10459 10458 10128 10004 10005 10006 10007 10001 10002 10003 10009 11238 11239 11230 11231 11232 11233 11234 11235 11236 11237 11379 11378 11375 11374 11377 11371 11370 11373 11372 10170 10171 10172 10173 10174 10177 11356 10039 10038 10035 10034 10037 10036 10031 10030 10033 10032 11201 11209 11203 11205 11204 11207 11206 11208 11411 11412 11413 11414 11415 11416 11417 11418 11419 11101 11105 11001 11005 11004 10065 10069 10199 10309 10308 10307 10306 10305 10304 10303 10302 10301 11429 11428 11421 11420 11423 11422 11424 11427 11426 10466 10467 10464 10465 10462 10463 10460 10461 10468 10469 10119 10115 10112 10110 10111 11359 11358 11357 11355 11354 10019 10018 10013 10012 10011 10010 10017 10016 10014",1840034016
"Los Angeles","Los Angeles","CA","California",6037,"Los Angeles",34.1141,-118.4068,12531334,3267,"shape",FALSE,TRUE,"America/Los_Angeles",1,"91367 90291 90293 90292 91316 91311 90035 90034 90037 90031 90039 90008 90004 90005 90006 90007 90001 90002 90003 91504 91040 90710 90089 91307 91344 91345 91340 91342 91343 90036 90247 91411 91436 91371 91608 91605 91604 91607 91606 91601 91602 90402 90068 90069 90062 90063 90061 90066 90067 90064 90065 90248 91326 91324 91325 90013 90012 90011 90010 90017 90016 90015 90014 91364 90028 90095 90094 91042 91352 91356 91406 91402 90041 90042 90043 90044 90045 90046 90047 90048 90049 90019 90018 91423 90210 91303 91304 91306 90079 90071 90077 90059 91331 91330 91335 90026 90027 90024 90025 90023 90020 90021 90029 90272 90732 90731 90230 91405 91403 91401 90033 90032 90038 90057 90052 90058 90744 90501 90502",1840020491
"Chicago","Chicago","IL","Illinois",17031,"Cook",41.8375,-87.6866,8586888,4576,"shape",FALSE,TRUE,"America/Chicago",1,"60018 60649 60641 60640 60643 60642 60645 60644 60647 60646 60616 60617 60614 60615 60612 60613 60610 60611 60618 60619 60631 60827 60661 60660 60638 60639 60634 60636 60637 60630 60632 60633 60605 60604 60607 60606 60601 60603 60602 60609 60608 60106 60659 60652 60653 60656 60657 60654 60655 60651 60623 60622 60621 60620 60626 60625 60624 60629 60628 60707",1840000494
"Miami","Miami","FL","Florida",12086,"Miami-Dade",25.784,-80.2101,6076316,4945,"shape",FALSE,TRUE,"America/New_York",1,"33128 33129 33125 33126 33127 33149 33144 33145 33142 33139 33138 33137 33136 33135 33134 33133 33132 33131 33130 33150 33101 33109",1840015149
"Dallas","Dallas","TX","Texas",48113,"Dallas",32.7935,-96.7667,5910669,1522,"shape",FALSE,TRUE,"America/Chicago",1,"75098 75287 75230 75231 75236 75237 75235 75254 75251 75252 75253 75043 75032 75227 75238 75232 75233 75234 75089 75088 75087 75247 75244 75249 75248 75051 75166 75210 75211 75212 75214 75215 75216 75217 75218 75219 75390 75182 75229 75228 75220 75223 75225 75224 75226 75243 75241 75240 75246 75270 75207 75206 75204 75203 75202 75201 75209 75208 75019",1840019440
"Houston","Houston","TX","Texas",48201,"Harris",29.786,-95.3885,5724418,1394,"shape",FALSE,TRUE,"America/Chicago",1,"77069 77068 77061 77060 77063 77062 77065 77064 77067 77066 77346 77571 77036 77037 77034 77035 77032 77033 77030 77031 77038 77449 77093 77044 77043 77042 77204 77598 77018 77019 77015 77016 77017 77010 77011 77012 77013 77094 77091 77092 77053 77345 77547 77080 77025 77024 77027 77026 77021 77020 77023 77022 77029 77028 77096 77090 77098 77099 77078 77079 77072 77073 77070 77071 77076 77077 77074 77075 77407 77047 77046 77045 77041 77040 77048 77336 77339 77338 77489 77003 77002 77007 77006 77005 77004 77009 77008 77450 77086 77089 77088 77083 77082 77081 77087 77085 77084 77054 77055 77056 77057 77058 77059 77396 77051 77506 77504",1840020925
"Philadelphia","Philadelphia","PA","Pennsylvania",42101,"Philadelphia",40.0077,-75.1339,5540199,4544,"shape",FALSE,TRUE,"America/New_York",1,"19154 19151 19150 19153 19152 19102 19103 19106 19107 19104 19108 19109 19128 19129 19120 19121 19122 19123 19124 19125 19126 19127 19112 19111 19115 19114 19116 19119 19118 19148 19149 19146 19147 19144 19145 19142 19143 19140 19141 19139 19138 19137 19136 19135 19134 19133 19132 19131 19130",1840000673
"Atlanta","Atlanta","GA","Georgia",13121,"Fulton",33.7628,-84.422,5151496,1419,"shape",FALSE,TRUE,"America/New_York",1,"30334 30331 30332 30309 30308 30354 30327 30322 30326 30324 30319 30342 30305 30307 30306 30316 30317 30314 30315 30312 30313 30310 30311 30303 30363 30318",1840013660
"Washington","Washington","DC","District of Columbia",11001,"District of Columbia",38.9047,-77.0163,5066973,4434,"shape",FALSE,TRUE,"America/New_York",1,"20250 20010 20011 20012 20015 20520 20418 20415 20020 20024 20510 20515 20427 20422 20530 20542 20540 20240 20245 20204 20005 20004 20003 20002 20001 20009 20008 20317 20319 20390 20059 20057 20052 20388 20017 20018 20565 20566 20560 20591 20220 20064 20551 20230 20373 20260 20007 20006 20032 20036 20037 20431 20045 20408 20535 20016 20019",1840006060
"Boston","Boston","MA","Massachusetts",25025,"Suffolk",42.3188,-71.0852,4465966,5505,"shape",FALSE,TRUE,"America/New_York",1,"02120 02121 02122 02124 02125 02126 02127 02128 02129 02210 02215 02467 02119 02118 02111 02110 02113 02115 02114 02116 02199 02134 02136 02135 02133 02132 02131 02130 02203 02205 02163 02108 02109",1840000455
"Phoenix","Phoenix","AZ","Arizona",4013,"Maricopa",33.5722,-112.0892,4187723,1236,"shape",FALSE,TRUE,"America/Phoenix",1,"85009 85003 85006 85007 85004 85083 85086 85087 85085 85331 85033 85306 85308 85020 85021 85022 85023 85024 85026 85027 85028 85029 85353 85019 85018 85013 85012 85015 85014 85016 85254 85008 85044 85045 85042 85043 85040 85041 85048 85037 85035 85034 85032 85031 85017 85304 85307 85266 85310 85054 85051 85050 85053",1840020568
"Detroit","Detroit","MI","Michigan",26163,"Wayne",42.3834,-83.1024,3731486,1871,"shape",FALSE,TRUE,"America/Detroit",1,"48209 48208 48202 48201 48207 48206 48205 48204 48227 48238 48239 48234 48235 48233 48203 48243 48228 48226 48214 48215 48216 48217 48210 48211 48212 48213 48219 48224 48221 48223",1840003971
"San Francisco","San Francisco","CA","California",6075,"San Francisco",37.7558,-122.4449,3557982,7199,"shape",FALSE,TRUE,"America/Los_Angeles",1,"94130 94131 94132 94133 94134 94103 94102 94105 94104 94188 94158 94124 94123 94122 94121 94129 94118 94108 94107 94112 94110 94116 94117 94114 94115 94111 94109 94127",1840021543
"Seattle","Seattle","WA","Washington",53033,"King",47.6211,-122.3244,3530752,3414,"shape",FALSE,TRUE,"America/Los_Angeles",1,"98109 98108 98105 98104 98107 98106 98101 98103 98102 98154 98122 98121 98126 98125 98178 98174 98177 98144 98146 98195 98199 98118 98119 98116 98117 98115 98112 98164 98134 98136 98133",1840021117
"San Diego","San Diego","CA","California",6073,"San Diego",32.8313,-117.1222,3178495,1675,"shape",FALSE,TRUE,"America/Los_Angeles",1,"92182 92109 92108 92107 92106 92103 92101 92111 92154 92110 92140 92161 92105 92104 92102 92071 92132 92130 92131 92136 92134 92139 92025 92027 92147 92145 92014 92093 92092 92119 92116 92117 92121 92120 92123 92122 92124 92127 92126 92129 92128 92037 92173 92113 92114 92115",1840021990
"Minneapolis","Minneapolis","MN","Minnesota",27053,"Hennepin",44.9635,-93.2678,2885614,3035,"shape",FALSE,TRUE,"America/Chicago",1,"55404 55409 55408 55407 55406 55405 55403 55402 55401 55454 55455 55430 55418 55419 55410 55411 55412 55413 55414 55415 55416 55417",1840007830
"Tampa","Tampa","FL","Florida",12057,"Hillsborough",27.9945,-82.4447,2771700,1340,"shape",FALSE,TRUE,"America/New_York",1,"33637 33629 33621 33620 33609 33604 33606 33602 33619 33616 33613 33617 33614 33610 33611 33612 33605 33607 33603 33647",1840015982
"Brooklyn","Brooklyn","NY","New York",36047,"Kings",40.6501,-73.9496,2736074,15200,"point",FALSE,TRUE,"America/New_York",1,"11212 11213 11216 11233 11238 11209 11214 11228 11204 11218 11219 11230 11234 11236 11239 11223 11224 11229 11235 11201 11205 11215 11217 11231 11203 11210 11225 11226 11207 11208 11211 11222 11220 11232 11206 11221 11237",1840034030
"Denver","Denver","CO","Colorado",8031,"Denver",39.762,-104.8758,2709398,1805,"shape",FALSE,TRUE,"America/Denver",1,"80264 80266 80230 80231 80236 80237 80235 80238 80239 80123 80249 80247 80246 80290 80293 80294 80218 80210 80212 80216 80221 80220 80223 80222 80224 80227 80219 80211 80209 80207 80206 80205 80204 80202 80203",1840018789
"Queens","Queens","NY","New York",36081,"Queens",40.7498,-73.7976,2405464,8503,"point",FALSE,TRUE,"America/New_York",1,"11361 11362 11363 11364 11354 11355 11356 11357 11358 11359 11360 11365 11366 11367 11412 11423 11432 11433 11434 11435 11436 11101 11102 11103 11104 11105 11106 11374 11375 11379 11385 11691 11692 11693 11694 11695 11697 11004 11005 11411 11413 11422 11426 11427 11428 11429 11414 11415 11416 11417 11418 11419 11420 11421 11368 11369 11370 11372 11373 11377 11378",1840034002
"Baltimore","Baltimore","MD","Maryland",24510,"Baltimore",39.3051,-76.6144,2270087,2872,"shape",FALSE,TRUE,"America/New_York",1,"21218 21211 21210 21213 21212 21215 21214 21217 21216 21233 21231 21230 21239 21251 21209 21202 21206 21207 21205 21287 21223 21226 21201 21224 21225 21229",1840001592
"Las Vegas","Las Vegas","NV","Nevada",32003,"Clark",36.2333,-115.2654,2165405,1754,"shape",FALSE,TRUE,"America/Los_Angeles",1,"89146 89149 89107 89106 89104 89102 89101 89108 89138 89130 89131 89134 89143 89145 89144 89110 89117 89129 89128 89124",1840020364
"St. Louis","St. Louis","MO","Missouri",29510,"St. Louis",38.6359,-90.2451,2144317,1905,"shape",FALSE,TRUE,"America/Chicago",1,"63110 63111 63112 63113 63115 63116 63118 63120 63107 63106 63104 63103 63102 63101 63109 63108 63155 63139 63137 63143 63147",1840001651
"Riverside","Riverside","CA","California",6065,"Riverside",33.9381,-117.3949,2112239,1556,"shape",FALSE,TRUE,"America/Los_Angeles",1,"92508 92503 92501 92506 92505 92504 92507 92521",1840020551
"Portland","Portland","OR","Oregon",41051,"Multnomah",45.5371,-122.65,2072553,1881,"shape",FALSE,TRUE,"America/Los_Angeles",1,"97227 97221 97220 97229 97203 97202 97201 97206 97205 97204 97209 97208 97258 97266 97219 97213 97236 97232 97233 97230 97239 97218 97214 97215 97216 97217 97210 97211 97212",1840019941
"San Antonio","San Antonio","TX","Texas",48029,"Bexar",29.4632,-98.5238,2036324,1183,"shape",FALSE,TRUE,"America/Chicago",1,"78112 78239 78259 78258 78252 78251 78250 78257 78256 78255 78254 78208 78201 78202 78203 78204 78205 78207 78245 78242 78248 78231 78230 78233 78232 78235 78234 78237 78238 78209 78109 78266 78264 78260 78219 78218 78217 78216 78215 78214 78213 78212 78211 78210 78244 78247 78240 78249 78073 78023 78222 78223 78220 78221 78226 78227 78224 78225 78228 78229",1840022220
"Sacramento","Sacramento","CA","California",6067,"Sacramento",38.5677,-121.4685,1882358,1971,"shape",FALSE,TRUE,"America/Los_Angeles",1,"95821 95820 95823 95838 95832 95833 95831 95834 95835 95811 95814 95815 95818 95819 95828 95822 95825 95824 95826 95816 95817",1840021491
"San Juan","San Juan","PR","Puerto Rico",72127,"San Juan",18.3985,-66.061,1854549,2982,"shape",FALSE,FALSE,"America/Puerto_Rico",1,"00918 00913 00912 00911 00917 00915 00926 00927 00924 00925 00923 00920 00921 00906 00907 00901 00909 00969",1630035577
"San Jose","San Jose","CA","California",6085,"Santa Clara",37.3012,-121.848,1797166,2229,"shape",FALSE,TRUE,"America/Los_Angeles",1,"95119 95118 95128 95124 95125 95122 95008 95002 95117 95116 95111 95110 95113 95112 95126 95127 95120 95123 95148 95133 95132 95131 95130 95136 95134 95139 95138 95037 95013 95129 95121",1840021570
"Orlando","Orlando","FL","Florida",12095,"Orange",28.4773,-81.337,1792047,994,"shape",FALSE,TRUE,"America/New_York",1,"32829 32827 32824 32822 32804 32805 32806 32807 32801 32803 32808 32839 32835 32832 32819 32811 32812 32814",1840015099
